time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
7,7,96.4286,3,1.56185,19584,0
7,8,96.4286,3,1.56185,19584,0
8,2,96.4286,3,1.56185,19520,0
8,3,96.4286,3,1.56185,19520,0
8,4,100,2,1.56185,19520,0
8,5,96.4286,3,1.56185,19520,0
8,6,96.4286,3,1.56185,19520,0
8,7,96.4286,3,1.56185,19520,0
8,8,96.4286,3,1.56185,19520,0
9,2,96.4286,3,1.56185,20224,0
9,3,96.4286,3,1.56185,20224,0
9,4,100,2,1.56185,20224,0
9,5,96.4286,3,1.56185,20224,0
9,6,96.4286,3,1.56185,20224,0
9,7,96.4286,3,1.56185,20224,0
9,8,96.4286,3,1.56185,20224,0
10,2,96.4286,3,1.56185,19904,0
10,3,96.4286,3,1.56185,19904,0
10,4,100,2,1.56185,19904,0
10,5,96.4286,3,1.56185,19904,0
10,6,96.4286,3,1.56185,19904,0
10,7,96.4286,3,1.56185,19904,0
10,8,96.4286,3,1.56185,19904,0
11,2,100,2,1.56185,19904,0
11,3,96.4286,3,1.56185,19904,0
11,4,96.4286,3,1.56185,19904,0
11,5,96.4286,3,1.56185,19904,0
11,6,96.4286,3,1.56185,19904,0
11,7,96.4286,3,1.56185,19904,0
11,8,96.4286,3,1.56185,19904,0
12,2,100,4,3.1237,19712,0
12,3,96.4286,3,3.1237,19712,0
12,4,96.4286,3,3.1237,19712,0
12,5,96.4286,3,3.1237,19712,0
12,6,100,2,3.1237,19712,0
12,7,100,2,3.1237,19712,0
12,8,96.4286,3,3.1237,19712,0
13,2,96.4286,3,1.56185,19840,0
13,3,96.4286,3,1.56185,19840,0
13,4,96.4286,3,1.56185,19840,0
13,5,100,2,1.56185,19840,0
13,6,96.4286,3,1.56185,19840,0
13,7,96.4286,3,1.56185,19840,0
13,8,96.4286,3,1.56185,19840,0
14,2,100,4,3.1237,19660.8,0
14,3,96.4286,3,3.1237,19660.8,0
14,4,96.4286,3,3.1237,19660.8,0
14,5,96.4286,3,3.1237,19660.8,0
14,6,96.4286,3,3.1237,19660.8,0
14,7,100,2,3.1237,19660.8,0
14,8,100,2,3.1237,19660.8,0
15,2,96.4286,3,1.56185,19353.6,0
15,3,96.4286,3,1.56185,19353.6,0
