Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
0.75,17,-55.9917,0,20.1717,11.8962,-61.8323,10.3539,-61.8323,0,20,0,0,20,7,8
0.75,18,-53.6296,0,24.1438,13.7017,-62.5769,18.9101,-62.5769,0,15,0,0,20,7,2
0.75,19,-50.1258,0,30.049,15,-64.1537,6.45576,-64.1537,0,105,0,0,20,7,6
0.75,20,-54.1539,0,23.2621,13.3009,-62.7106,8.99681,-62.7106,0,25,0,0,20,8,4
0.8,2,-47.6733,0,34.1686,15,-63.8886,6.89615,-63.8886,0,30,163840,160064,20,2,8
0.8,3,-55.8571,0,20.402,12.0009,-62.1995,10.4662,-62.1995,0,18,0,0,20,2,8
0.8,4,-57.3364,0,17.9185,10.872,-67.3144,1.14589,-67.3144,0,110,139264,134688,20,3,8
0.8,5,-53.8508,0,37.126,15,-62.301,9.56252,-62.301,0,38,0,0,20,3,4
0.8,6,-36.4193,0,59.5894,15,-64.9896,5.04184,-64.9896,0,65,112640,111264,20,3,8
0.8,7,-53.5267,0,24.3166,13.7803,-62.4015,9.39869,-62.4015,0,60,0,0,20,4,3
0.8,9,-49.682,0,30.7651,15,-63.7487,7.13217,-63.7487,0,75,0,0,20,4,3
0.8,10,-54.923,0,22.0033,12.7288,-62.7506,8.80103,-62.7506,0,135,61440,62464,20,4,3
0.8,1,-42.5209,0,53.4107,15,-64.5348,16.7667,-64.5348,0,55,0,0,20,5,4
0.8,8,-57.2805,0,30.6026,15,-64.1296,6.50056,-64.1296,0,130,88064,85888,20,5,6
0.8,11,-39.4091,0,56.5013,15,-65.2764,4.55938,-65.2764,0,90,0,0,20,5,6
0.8,12,-49.1548,0,46.059,15,-63.8558,6.95079,-63.8558,0,45,36864,37088,20,5,6
0.8,13,-50.732,0,29.0158,15,-65.2806,4.55642,-65.2806,0,22,0,78080,20,5,6
0.8,14,-42.1028,0,53.8675,15,-64.6697,5.58207,-64.6697,0,35,10240,13664,20,6,5
0.8,15,-62.1444,0,21.3316,12.4235,-67.5173,0.80486,-67.5173,0,120,0,0,20,6,7
0.8,16,-52.159,0,40.3205,15,-63.0487,8.31579,-63.0487,0,60,0,0,20,6,5
0.8,17,-55.9748,0,20.1999,11.909,-61.8148,10.3831,-61.8148,0,20,0,0,20,7,8
0.8,18,-53.6496,0,24.1104,13.6865,-62.5831,18.9594,-62.5831,0,15,0,0,20,7,2
0.8,19,-50.551,0,29.3416,15,-64.2374,6.3164,-64.2374,0,105,0,0,20,7,6
0.8,20,-54.1634,0,23.2463,13.2938,-62.7394,9.00217,-62.7394,0,25,0,0,20,8,4
0.85,2,-47.9211,0,33.7553,15,-63.8513,6.95828,-63.8513,0,30,176128,171776,20,2,8
0.85,3,-55.9205,0,20.2963,11.9529,-62.1914,10.4444,-62.1914,0,18,0,0,20,2,8
0.85,4,-57.4631,0,17.708,10.7764,-67.4332,0.947691,-67.4332,0,110,151552,146400,20,3,8
0.85,5,-54.0461,0,36.7568,15,-62.2204,9.69687,-62.2204,0,38,0,0,20,3,4
0.85,6,-38.0607,0,57.9581,15,-64.8875,5.21204,-64.8875,0,65,124928,122976,20,3,8
0.85,7,-53.5452,0,37.6979,15,-62.4178,9.37161,-62.4178,0,60,0,0,20,4,3
0.85,9,-49.4447,0,45.4898,15,-63.7283,15.3806,-63.7283,0,75,0,0,20,4,2
0.85,10,-55.5417,0,20.9691,12.2587,-62.5671,9.10723,-62.5671,0,135,73728,74176,20,4,3
0.85,1,-41.7855,0,54.1403,15,-64.587,5.72763,-64.587,0,55,0,0,20,5,4
0.85,8,-57.6276,0,17.4458,10.6572,-64.2707,6.26534,-64.2707,0,130,100352,97600,20,5,6
0.85,11,-38.1564,0,57.7564,15,-65.1677,4.74061,-65.1677,0,90,0,0,20,5,6
