SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ,Event
4,10.3,12,5,-99.72,9,-111.72,9,-109.72,4,40.28,-68.72,60,0.4,0,100,270,-111.72
5,10.4,13,5,-115.953,7,-127.953,9,-125.953,2,24.047,-84.953,65,0.384,0,100,270,-127.953
6,10.5,14,6,-97.8566,5,-112.857,7,-107.857,0,42.1434,-69.8566,70,0.4,0,100,270,-112.857
3,10.5072,2,4,-85.7446,13,-102.745,11,-95.7446,8,54.2554,-59.7446,70,0,0,100,0,-102.745,SECONDARY_CHANGE
7,10.6,15,5,-116.256,5,-131.256,7,-126.256,0,23.744,-88.256,60,0.32,0,100,270,-131.256
8,10.7,16,6,-104.566,5,-118.566,7,-114.566,0,35.4337,-75.5663,65,0.392,0,100,270,-118.566
5,10.7072,4,4,-91.5408,6,-104.541,7,-101.541,1,48.4592,-61.5408,65,0,0,100,0,-104.541,SECONDARY_CHANGE
7,10.7072,6,4,-86.4137,19,-102.414,13,-96.4137,14,53.5863,-59.4137,60,0,0,100,0,-102.414,SECONDARY_CHANGE
9,10.8,17,6,-118.69,13,-131.69,11,-128.69,8,21.3097,-88.6903,70,0.368,0,100,270,-131.69
10,10.9,18,6,-112.35,11,-125.35,11,-122.35,6,27.6502,-82.3498,60,0.4,0,100,270,-125.35
1,11,9,5,-101.235,5,-115.235,7,-111.235,0,38.7647,-72.2353,60,0.392,0,100,270,-115.235
2,11.1,10,5,-116.024,11,-130.024,11,-126.024,6,23.976,-87.024,65,0.352,0,100,270,-130.024
3,11.2,11,4,-98.8602,12,-110.86,11,-108.86,7,41.1398,-67.8602,70,0.32,0,100,270,-110.86
4,11.3,12,5,-112.516,14,-124.516,11,-122.516,9,27.4841,-81.5159,60,0.288,0,100,270,-124.516
5,11.4,13,4,-84.831,12,-101.831,11,-94.831,7,55.169,-58.831,65,0.336,0,100,270,-101.831
6,11.5,14,6,-110.584,14,-126.584,11,-120.584,9,29.416,-83.584,70,0.392,0,100,270,-126.584
