SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
3,32.2,11,3,-95.515,9,-110.515,9,-105.515,4,44.485,-67.515,30,0.4,0,100,90,-110.515
4,32.3,12,1,-91.3074,6,-107.307,9,-101.307,1,48.6926,-64.3074,20,0.4,0,100,270,-107.307
5,32.4,13,2,-94.5329,9,-110.533,9,-104.533,4,45.4671,-67.5329,25,0.32,0,100,90,-110.533
6,32.5,14,2,-113.55,10,-129.55,9,-123.55,5,26.4501,-86.5499,30,0.4,0,100,90,-129.55
7,32.6,15,1,-81.9345,15,-95.9345,11,-91.9345,10,58.0655,-52.9345,20,0.4,0,100,270,-95.9345
8,32.7,16,2,-78.1516,22,-90.1516,15,-88.1516,17,61.8484,-47.1516,25,0.4,0,100,90,-90.1516
9,32.8,17,2,-87.8341,14,-103.834,11,-97.8341,9,52.1659,-60.8341,30,0.4,0,100,90,-103.834
10,32.9,18,1,-75.7713,22,-88.7713,15,-85.7713,17,64.2287,-45.7713,20,0.4,0,100,270,-88.7713
1,33,9,2,-88.536,11,-102.536,11,-98.536,6,51.464,-59.536,20,0.4,0,100,270,-102.536
2,33.1,10,1,-98.0139,5,-111.014,7,-108.014,0,41.9861,-68.0139,25,0.4,0,100,270,-111.014
3,33.2,11,3,-104.611,10,-119.611,9,-114.611,5,35.3892,-76.6108,30,0.4,0,100,270,-119.611
4,33.3,12,1,-60.0721,20,-77.0721,13,-70.0721,15,79.9279,-34.0721,20,0.408,0,100,270,-77.0721
5,33.4,13,2,-88.958,14,-103.958,11,-98.958,9,51.042,-60.958,25,0.4,0,100,90,-103.958
6,33.5,14,3,-91.6877,5,-107.688,7,-101.688,0,48.3123,-64.6877,30,0.36,0,100,90,-107.688
7,33.6,15,1,-53.536,28,-68.536,15,-63.536,23,86.464,-25.536,20,0.408,0,100,270,-68.536
8,33.7,16,2,-78.1516,15,-95.1516,11,-88.1516,10,61.8484,-52.1516,25,0.4,0,100,90,-95.1516
9,33.8,17,2,-94.8602,13,-106.86,11,-104.86,8,45.1398,-63.8602,30,0.4,0,100,90,-106.86
10,33.9,18,1,-73.6081,23,-90.6081,15,-83.6081,18,66.3919,-47.6081,20,0.408,0,100,270,-90.6081
1,34,9,2,-43,20,-58,13,-53,15,97,-15,20,0.408,0,100,270,-58
2,34.1,10,1,-105.255,10,-121.255,9,-115.255,5,34.7449,-78.2551,25,0.4,0,100,270,-121.255
3,34.2,11,3,-92.3154,12,-108.315,11,-102.315,7,47.6846,-65.3154,30,0.4,0,100,270,-108.315
4,34.3,12,1,-84.1442,12,-96.1442,11,-94.1442,7,55.8558,-53.1442,20,0.392,0,100,270,-96.1442
5,34.4,13,2,-82.268,17,-98.268,13,-92.268,12,57.732,-55.268,25,0.4,0,100,90,-98.268
6,34.5,14,3,-83.9968,16,-98.9968,13,-93.9968,11,56.0032,-55.9968,30,0.4,0,100,90,-98.9968
7,34.6,15,1,-82.9848,11,-95.9848,11,-92.9848,6,57.0152,-52.9848,20,0.392,0,100,270,-95.9848
8,34.7,16,2,-91.6132,13,-105.613,11,-101.613,8,48.3868,-62.6132,25,0.4,0,100,90,-105.613
9,34.8,17,2,-99.9245,13,-113.924,11,-109.924,8,40.0755,-70.9245,30,0.4,0,100,90,-113.924
10,34.9,18,1,-95.6505,12,-112.651,11,-105.651,7,44.3495,-69.6505,20,0.392,0,100,270,-112.651
1,35,9,2,-90.536,14,-102.536,11,-100.536,9,49.464,-59.536,20,0.392,0,100,270,-102.536
2,35.1,10,1,-107.191,12,-120.191,11,-117.191,7,32.8094,-77.1906,25,0.4,0,100,90,-120.191
3,35.2,11,3,-84.191,17,-101.191,13,-94.191,12,55.809,-58.191,30,0.4,0,100,270,-101.191
4,35.3,12,1,-93.4706,12,-109.471,11,-103.471,7,46.5294,-66.4706,20,0.4,0,100,270,-109.471
5,35.4,13,2,-98.6388,13,-111.639,11,-108.639,8,41.3612,-68.6388,25,0.4,0,100,90,-111.639
6,35.5,14,3,-93.1899,10,-107.19,9,-103.19,5,46.8101,-64.1899,30,0.4,0,100,90,-107.19
7,35.6,15,1,-95.8137,11,-112.814,11,-105.814,6,44.1863,-69.8137,20,0.4,0,100,270,-112.814
8,35.7,16,2,-100.048,13,-114.048,11,-110.048,8,39.9521,-71.0479,25,0.4,0,100,90,-114.048
9,35.8,17,2,-106.396,13,-123.396,11,-116.396,8,33.604,-80.396,30,0.384,0,100,90,-123.396
10,35.9,18,1,-96.8434,7,-109.843,9,-106.843,2,43.1566,-66.8434,20,0.4,0,100,270,-109.843
1,36,9,2,-97.0721,5,-110.072,7,-107.072,0,42.9279,-67.0721,20,0.4,0,100,270,-110.072
2,36.1,10,1,-97.4031,8,-114.403,9,-107.403,3,42.5969,-71.4031,25,0.408,0,100,90,-114.403
3,36.2,11,3,-99.515,7,-112.515,9,-109.515,2,40.485,-69.515,30,0.4,0,100,270,-112.515
4,36.3,12,1,-105.187,9,-122.187,9,-115.187,4,34.8134,-79.1866,20,0.4,0,100,270,-122.187
5,36.4,13,2,-98.4435,6,-114.444,9,-108.444,1,41.5565,-71.4435,25,0.4,0,100,90,-114.444
6,36.5,14,3,-100.139,12,-117.139,11,-110.139,7,39.8605,-74.1395,30,0.4,0,100,270,-117.139
7,36.6,15,1,-103.734,7,-120.734,9,-113.734,2,36.2663,-77.7337,20,0.4,0,100,270,-120.734
8,36.7,16,2,-111.069,11,-124.069,11,-121.069,6,28.9311,-81.0689,25,0.4,0,100,90,-124.069
9,36.8,17,3,-96.0567,7,-112.057,9,-106.057,2,43.9433,-69.0567,30,0.376,0,100,90,-112.057
10,36.9,18,1,-103.06,12,-120.06,11,-113.06,7,36.9399,-77.0601,20,0.4,0,100,90,-120.06
1,37,9,2,-103.235,10,-120.235,9,-113.235,5,36.7647,-77.2353,20,0.4,0,100,270,-120.235
2,37.1,10,1,-84.6539,14,-99.6539,11,-94.6539,9,55.3461,-56.6539,25,0.4,0,100,90,-99.6539
3,37.2,11,3,-109.352,6,-122.352,9,-119.352,1,30.6483,-79.3517,30,0.4,0,100,270,-122.352
