SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
2,9.1,10,4,-116.167,12,-133.167,11,-126.167,7,23.833,-90.167,125,0.408,0,100,90,-133.167
3,9.2,11,4,-96.8602,13,-109.86,11,-106.86,8,43.1398,-66.8602,130,0.24,0,100,90,-109.86
4,9.3,12,4,-120,12,-137,11,-130,7,20,-94,120,0.4,0,100,270,-137
5,9.4,13,5,-113.44,13,-126.44,11,-123.44,8,26.5597,-83.4403,125,0.328,0,100,270,-126.44
6,9.5,14,6,-85.9279,11,-100.928,11,-95.9279,6,54.0721,-57.9279,130,0.4,0,100,270,-100.928
7,9.50721,6,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
7,9.6,15,5,-89.6802,16,-104.68,13,-99.6802,11,50.3198,-61.6802,120,0.216,0,100,270,-104.68
8,9.7,16,6,-108.187,8,-121.187,9,-118.187,3,31.8133,-78.1867,125,0.4,0,100,270,-121.187
5,9.70721,4,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
9,9.8,17,6,-120,11,-134,11,-130,6,20,-91,130,0.288,0,100,270,-134
10,9.9,18,6,-120,13,-136,11,-130,8,20,-93,120,0.4,0,100,270,-136
1,10,9,4,-118.278,14,-130.278,11,-128.278,9,21.7223,-87.2777,120,0.408,0,100,90,-130.278
2,10.1,10,4,-99.8148,11,-116.815,11,-109.815,6,40.1852,-73.8148,125,0.4,0,100,90,-116.815
3,10.2,11,4,-110.702,5,-125.702,7,-120.702,0,29.2976,-82.7024,130,0.4,0,100,90,-125.702
4,10.3,12,4,-118.563,14,-132.563,11,-128.563,9,21.4368,-89.5632,120,0.408,0,100,90,-132.563
5,10.4,13,4,-113.076,9,-130.076,9,-123.076,4,26.9244,-87.0756,125,0.312,0,100,270,-130.076
6,10.5,14,6,-120,14,-137,11,-130,9,20,-94,130,0.384,0,100,270,-137
7,10.6,15,5,-117.365,14,-133.365,11,-127.365,9,22.6355,-90.3645,120,0.232,0,100,270,-133.365
8,10.7,16,6,-100.403,9,-112.403,9,-110.403,4,39.5969,-69.4031,125,0.4,0,100,270,-112.403
7,10.7072,6,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
3,10.7072,2,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
6,10.7072,5,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
9,10.8,17,6,-120,10,-135,9,-130,5,20,-92,130,0.368,0,100,270,-135
10,10.9,18,6,-97.8137,6,-111.814,9,-107.814,1,42.1863,-68.8137,120,0.4,0,100,270,-111.814
1,11,9,4,-111.398,14,-123.398,11,-121.398,9,28.6015,-80.3985,120,0.4,0,100,90,-123.398
2,11.1,10,4,-106.191,13,-122.191,11,-116.191,8,33.8094,-79.1906,125,0.4,0,100,90,-122.191
3,11.2,11,5,-111.337,6,-127.337,9,-121.337,1,28.6626,-84.3374,130,0.248,0,100,90,-127.337
4,11.3,12,4,-98.6018,6,-113.602,9,-108.602,1,41.3982,-70.6018,120,0.4,0,100,90,-113.602
5,11.4,13,4,-120,13,-132,11,-130,8,20,-89,125,0.4,0,100,270,-132
6,11.5,14,5,-113.584,11,-125.584,11,-123.584,6,26.416,-82.584,130,0.32,0,100,270,-125.584
7,11.6,15,4,-114.023,7,-126.023,9,-124.023,2,25.9774,-83.0226,120,0.392,0,100,270,-126.023
8,11.7,16,6,-85.6539,16,-99.6539,13,-95.6539,11,54.3461,-56.6539,125,0.208,0,100,270,-99.6539
8,11.7072,7,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
9,11.8,17,6,-112.702,9,-126.702,9,-122.702,4,27.2976,-83.7024,130,0.392,0,100,270,-126.702
10,11.9,18,6,-104.223,9,-116.223,9,-114.223,4,35.7767,-73.2233,120,0.4,0,100,270,-116.223
6,11.9072,5,4,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
2,11.9072,1,5,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
3,11.9072,2,6,-999,-999,-999,0,0,0,0,0,0,0,0,100,0,0,SECONDARY_CHANGE
1,12,9,4,-96.6992,7,-108.699,9,-106.699,2,43.3008,-65.6992,120,0.4,0,100,90,-108.699
2,12.1,10,5,-93.4031,5,-108.403,7,-103.403,0,46.5969,-65.4031,125,0.24,0,100,90,-108.403
3,12.2,11,6,-99.099,8,-116.099,9,-109.099,3,40.901,-73.099,130,0.224,0,100,90,-116.099
4,12.3,12,4,-111.707,5,-126.707,7,-121.707,0,28.2926,-83.7074,120,0.4,0,100,90,-126.707
