Time,UE_ID,X,Y,VelocityX,VelocityY,Event
48,1,540,300,20,0,POSITION
48.5,10,530,300,20,0,POSITION
48.5,6,355,320,-30,0,POSITION
48.5,2,617.5,310,25,0,POSITION
49,7,520,300,20,0,POSITION
49,3,650,320,-30,0,POSITION
49.5,8,507.5,310,-25,0,POSITION
49.5,4,510,300,20,0,POSITION
50,2,655,310,-25,0,REVERSE
50,4,520,300,-20,0,REVERSE
50,9,420,320,-30,0,POSITION
50,5,500,310,-25,0,POSITION
50,1,580,300,20,0,POSITION
50.5,10,570,300,20,0,POSITION
50.5,6,295,320,-30,0,POSITION
50.5,2,642.5,310,-25,0,POSITION
51,7,560,300,20,0,POSITION
51,3,590,320,-30,0,POSITION
51.5,8,457.5,310,-25,0,POSITION
51.5,4,490,300,-20,0,POSITION
52,9,360,320,-30,0,POSITION
52,5,450,310,-25,0,POSITION
52,1,620,300,20,0,POSITION
52.5,10,610,300,20,0,POSITION
52.5,6,355,320,30,0,POSITION
52.5,2,592.5,310,-25,0,POSITION
53,7,600,300,20,0,POSITION
53,3,530,320,-30,0,POSITION
53.5,8,407.5,310,-25,0,POSITION
53.5,4,450,300,-20,0,POSITION
54,9,300,320,-30,0,POSITION
54,5,400,310,-25,0,POSITION
54,1,660,300,20,0,POSITION
54.5,10,650,300,20,0,POSITION
54.5,6,415,320,30,0,POSITION
54.5,2,542.5,310,-25,0,POSITION
55,7,640,300,20,0,POSITION
55,3,470,320,-30,0,POSITION
55.5,8,357.5,310,-25,0,POSITION
55.5,4,410,300,-20,0,POSITION
56,9,360,320,30,0,POSITION
56,5,350,310,-25,0,POSITION
56,1,700,300,20,0,POSITION
56.5,10,690,300,20,0,POSITION
56.5,6,475,320,30,0,POSITION
56.5,2,492.5,310,-25,0,POSITION
57,7,680,300,20,0,POSITION
57,3,410,320,-30,0,POSITION
57.5,8,307.5,310,-25,0,POSITION
57.5,4,370,300,-20,0,POSITION
58,9,420,320,30,0,POSITION
58,5,300,310,-25,0,POSITION
58,1,740,300,20,0,POSITION
58.5,10,730,300,20,0,POSITION
58.5,6,535,320,30,0,POSITION
58.5,2,442.5,310,-25,0,POSITION
59,7,720,300,20,0,POSITION
59,3,350,320,-30,0,POSITION
59.5,8,257.5,310,-25,0,POSITION
59.5,4,330,300,-20,0,POSITION
