SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
10,35.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
1,36,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,36.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,36.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,36.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,36.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,36.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,36.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
8,36.7,16,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,36.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,36.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,37,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,37.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,37.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,37.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
5,37.4,13,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,37.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,37.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,37.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,37.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,37.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,38,9,2,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,38.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,38.2,11,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,38.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,38.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,38.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,38.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,38.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,38.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,38.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,39,9,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,270,-10
2,39.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,39.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
4,39.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,39.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,39.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,39.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,39.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,39.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
10,39.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,40,9,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,40.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,40.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,40.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,40.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,40.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,40.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,40.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
9,40.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,40.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,41,9,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,41.1,10,1,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,41.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,41.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,41.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
6,41.5,14,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
