uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
e3c0963f-94eb-4b23-8dd2-c4aae32f1f96,sim015,61.9188,16,5,6,False
6d76975f-3ea6-42f1-ba52-73be20ec5105,sim015,63.2615,12,8,2,True
9b799a39-ac86-44f9-a410-ba947545c5d1,sim015,63.4085,10,8,3,True
2c08e442-7698-4ff3-ac55-2a7b2eff3b9f,sim015,63.6148,14,5,6,True
e4311eab-5693-4e87-8ba8-7250b1d98d73,sim015,64.11,15,7,8,True
500f518d-c730-4836-87fe-51cf5c899763,sim015,64.4155,5,4,3,True
92c63e3b-1650-4d26-b4f5-cedaf9475072,sim015,64.463,2,2,5,True
ebb46cf3-078d-41b7-b7a4-1f5e2b3a7877,sim015,64.7653,4,5,2,True
39a6ca26-ad47-4ae3-b74e-e6b8c1cebcb5,sim015,65.3133,9,7,8,True
0130450e-9330-45c8-b105-275ef651c2a5,sim015,65.5175,19,8,3,True
5134ca9d-a794-4189-aa20-022eeed0c1b4,sim015,65.712,6,5,6,True
5e145492-cc61-44f4-86db-1e1b7bab882e,sim015,65.7678,11,8,7,False
955d510b-d498-42be-b892-5011646e3362,sim015,66.6148,18,5,6,False
ec54002b-50a2-423f-b844-b4298976fe15,sim015,66.6635,7,8,3,True
e8583976-3b40-4abb-a418-ee0ecf6105f7,sim015,66.9128,16,6,5,True
8fc14175-7563-40be-b15d-51b40c6e279d,sim015,67.1675,3,3,2,True
68a74ffe-4f24-4199-ace0-3ce8a34aa4e7,sim015,68.0158,8,5,6,True
ef8ba7e6-884d-4e6b-8cda-aa604d72bc41,sim015,68.3608,12,2,6,True
9da40a6d-2587-4694-80fb-962c134c9cab,sim015,68.4633,10,3,4,True
218be0a0-f762-461a-a969-c99d3cd37af3,sim015,68.7133,14,6,5,True
490a4b0c-f525-4522-b198-0a9bd0debe6a,sim015,69.8115,4,2,7,True
b1a4d508-9806-40c4-8a7f-55aa7427ecaf,sim015,70.3665,9,8,3,True
6a6895dc-b8da-49b1-9965-9a017062dee3,sim015,70.6125,19,3,4,True
55fd803b-6815-43eb-9e08-c4579e4ef086,sim015,70.7578,11,7,8,True
8bbc2422-5881-4b70-9613-a89d4e6c6e22,sim015,70.7578,6,6,5,True
e096ff5f-68c7-4a5c-9b60-81ab951779c6,sim015,70.965,1,5,6,True
2d3c5c65-bb06-4d6d-aae3-6af54a51b199,sim015,71.5623,18,6,5,True
d970e087-be6b-43a4-b963-21aa342b78ab,sim015,71.7105,7,3,8,True
